Collection_site_ID	Study_ID	continent [GAZ_00000013]	Latitude [OBI_0001620]	Longitude [OBI_0001621]	country [OBI_0001627]
2014-MAP-Asia|2014-MAP-Asia_1	2014-MAP-Asia	Asia	12.444	98.605	Myanmar
2014-MAP-Asia|2014-MAP-Asia_1009	2014-MAP-Asia	Asia	15.167	98.566	Thailand
2014-MAP-Asia|2014-MAP-Asia_1011	2014-MAP-Asia	Asia	16.9	98.65	Thailand
2014-MAP-Asia|2014-MAP-Asia_1023	2014-MAP-Asia	Asia	5.45	116.783	Malaysia
2014-MAP-Asia|2014-MAP-Asia_103	2014-MAP-Asia	Asia	11.953	99.655	Thailand
2014-MAP-Asia|2014-MAP-Asia_1030	2014-MAP-Asia	Asia	22.013	96.103	Myanmar
2014-MAP-Asia|2014-MAP-Asia_1049	2014-MAP-Asia	Asia	12.1413	109.044	Vietnam
2014-MAP-Asia|2014-MAP-Asia_1054	2014-MAP-Asia	Asia	16.883	97.433	Myanmar
2014-MAP-Asia|2014-MAP-Asia_1057	2014-MAP-Asia	Asia	14.4833	105.35	Thailand
2014-MAP-Asia|2014-MAP-Asia_1063	2014-MAP-Asia	Asia	16.6	98.7	Thailand
2014-MAP-Asia|2014-MAP-Asia_1064	2014-MAP-Asia	Asia	15.4037	106.243	Laos
2014-MAP-Asia|2014-MAP-Asia_1092	2014-MAP-Asia	Asia	22.95	96.49	Myanmar
2014-MAP-Asia|2014-MAP-Asia_1097	2014-MAP-Asia	Asia	14.65	98.7667	Thailand
2014-MAP-Asia|2014-MAP-Asia_111	2014-MAP-Asia	Asia	19.48	105.486	Vietnam
2014-MAP-Asia|2014-MAP-Asia_1121	2014-MAP-Asia	Asia	16.358	97.736	Myanmar
2014-MAP-Asia|2014-MAP-Asia_1123	2014-MAP-Asia	Asia	11.25	76.5796	India
2014-MAP-Asia|2014-MAP-Asia_113	2014-MAP-Asia	Asia	26.719	89.752	India
2014-MAP-Asia|2014-MAP-Asia_1131	2014-MAP-Asia	Asia	14.4	98.9167	Thailand
2014-MAP-Asia|2014-MAP-Asia_1135	2014-MAP-Asia	Asia	16.681	98.626	Thailand
2014-MAP-Asia|2014-MAP-Asia_1138	2014-MAP-Asia	Asia	3.3333	114.832	Malaysia
2014-MAP-Asia|2014-MAP-Asia_114	2014-MAP-Asia	Asia	16.71	98.57	Thailand
