Sample_ID	Collection_ID	Collection_site_ID	Study_ID	Sample type [EUPATH_0000611]	species [OBI_0001909]	protocol [OBI_0000272]
2014-MAP-Asia|MAP.1276	2014-MAP-Asia|MAP.1276.collection	2014-MAP-Asia|2014-MAP-Asia_1	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.59764	2014-MAP-Asia|MAP.59764.collection	2014-MAP-Asia|2014-MAP-Asia_1	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.23002	2014-MAP-Asia|MAP.22988.collection	2014-MAP-Asia|2014-MAP-Asia_1009	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.19464	2014-MAP-Asia|MAP.19464.collection	2014-MAP-Asia|2014-MAP-Asia_1011	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.19465	2014-MAP-Asia|MAP.19465.collection	2014-MAP-Asia|2014-MAP-Asia_1011	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.740	2014-MAP-Asia|MAP.740.collection	2014-MAP-Asia|2014-MAP-Asia_1023	2014-MAP-Asia	population	Anopheles balabacensis	material portioning
2014-MAP-Asia|MAP.741	2014-MAP-Asia|MAP.741.collection	2014-MAP-Asia|2014-MAP-Asia_1023	2014-MAP-Asia	population	Anopheles balabacensis	material portioning
2014-MAP-Asia|MAP.742	2014-MAP-Asia|MAP.742.collection	2014-MAP-Asia|2014-MAP-Asia_1023	2014-MAP-Asia	population	Anopheles balabacensis	material portioning
2014-MAP-Asia|MAP.743	2014-MAP-Asia|MAP.743.collection	2014-MAP-Asia|2014-MAP-Asia_1023	2014-MAP-Asia	population	Anopheles balabacensis	material portioning
2014-MAP-Asia|MAP.744	2014-MAP-Asia|MAP.744.collection	2014-MAP-Asia|2014-MAP-Asia_1023	2014-MAP-Asia	population	Anopheles balabacensis	material portioning
2014-MAP-Asia|MAP.745	2014-MAP-Asia|MAP.745.collection	2014-MAP-Asia|2014-MAP-Asia_1023	2014-MAP-Asia	population	Anopheles balabacensis	material portioning
2014-MAP-Asia|MAP.746	2014-MAP-Asia|MAP.746.collection	2014-MAP-Asia|2014-MAP-Asia_1023	2014-MAP-Asia	population	Anopheles balabacensis	material portioning
2014-MAP-Asia|MAP.747	2014-MAP-Asia|MAP.747.collection	2014-MAP-Asia|2014-MAP-Asia_1023	2014-MAP-Asia	population	Anopheles balabacensis	material portioning
2014-MAP-Asia|MAP.748	2014-MAP-Asia|MAP.748.collection	2014-MAP-Asia|2014-MAP-Asia_1023	2014-MAP-Asia	population	Anopheles balabacensis	material portioning
2014-MAP-Asia|MAP.26124	2014-MAP-Asia|MAP.26124.collection	2014-MAP-Asia|2014-MAP-Asia_103	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.26670	2014-MAP-Asia|MAP.26670.collection	2014-MAP-Asia|2014-MAP-Asia_103	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.58971	2014-MAP-Asia|MAP.58971.collection	2014-MAP-Asia|2014-MAP-Asia_1030	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.30813	2014-MAP-Asia|MAP.30813.collection	2014-MAP-Asia|2014-MAP-Asia_1049	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.1943	2014-MAP-Asia|MAP.1943.collection	2014-MAP-Asia|2014-MAP-Asia_1054	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.28132	2014-MAP-Asia|MAP.28132.collection	2014-MAP-Asia|2014-MAP-Asia_1057	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.28126	2014-MAP-Asia|MAP.28126.collection	2014-MAP-Asia|2014-MAP-Asia_1063	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.30796	2014-MAP-Asia|MAP.30796.collection	2014-MAP-Asia|2014-MAP-Asia_1064	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.39403	2014-MAP-Asia|MAP.39403.collection	2014-MAP-Asia|2014-MAP-Asia_1092	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.28119	2014-MAP-Asia|MAP.28119.collection	2014-MAP-Asia|2014-MAP-Asia_1097	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.49492	2014-MAP-Asia|MAP.49490.collection	2014-MAP-Asia|2014-MAP-Asia_111	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.59990	2014-MAP-Asia|MAP.59986.collection	2014-MAP-Asia|2014-MAP-Asia_1121	2014-MAP-Asia	population	Anopheles dirus	material portioning
2014-MAP-Asia|MAP.39550	2014-MAP-Asia|MAP.39545.collection	2014-MAP-Asia|2014-MAP-Asia_1123	2014-MAP-Asia	population	Anopheles dirus	material portioning
