gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4539772951	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2887490	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Phanom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	8.855	98.8133							2019-10-16	16	10	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2887490				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:31:49.811Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539772947	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2885220	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Khiri Ratthanikhom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	9.03	98.9533							2019-06-27	27	6	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2885220				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:31:49.811Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539772872	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2885228	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Khiri Ratthanikhom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	9.03	98.9533							2019-06-27	27	6	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2885228				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:31:49.805Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539772871	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2884024	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles dirus		SPECIES	Anopheles dirus Peyton & Harrison, 1979	Anopheles dirus		TH	Phanom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	8.855	98.8133							2019-05-22	22	5	2019	1650124	1650124	HUMAN_OBSERVATION	VecB	Aggregate	VBS2884024				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:31:49.805Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539772867	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2885100	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles dirus		SPECIES	Anopheles dirus Peyton & Harrison, 1979	Anopheles dirus		TH	Phanom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	8.855	98.8133							2019-06-24	24	6	2019	1650124	1650124	HUMAN_OBSERVATION	VecB	Aggregate	VBS2885100				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:31:49.804Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539772838	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2883976	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Phanom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	8.855	98.8133							2019-05-22	22	5	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2883976				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:31:49.802Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539771961	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2887494	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Phanom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	8.855	98.8133							2019-10-16	16	10	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2887494				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:32:21.856Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539771959	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2885018	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Phanom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	8.855	98.8133							2019-06-24	24	6	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2885018				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:32:21.856Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539771891	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2885816	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Phanom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	8.855	98.8133							2019-07-25	25	7	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2885816				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:32:21.846Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539771835	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2886568	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Khiri Ratthanikhom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	9.03	98.9533							2019-08-30	30	8	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2886568				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:32:21.838Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4539771813	c3969d4c-b9c1-439a-96be-ebf369f17a0c	VBS2883781	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii		SPECIES	Anopheles baimaii Sallum & Peyton, 2005	Anopheles baimaii		TH	Khiri Ratthanikhom	Surat Thani	PRESENT	1	5db132f5-ce3f-47a3-a32b-6796c159962c	9.03	98.9533							2019-04-30	30	4	2019	1650682	1650682	HUMAN_OBSERVATION	VecB	Aggregate	VBS2883781				CC_BY_NC_4_0	VectorBase manages, but does not own the data	Kevin Kobylinski;Narenrit Wamaket;Oranicha Khamprapa;Sittinont Chainarin;Panisa Thamsawet;Ubolrat Ninsaeng;Suttipong Thongsalee;Veerast Suwan;Jira Sakolvaree;Ratree Takhampunya;Silas A. Davidson;Patrick W. McCardle;Patiwat Sa-angchai;Mavuto Mukaka;Kirakor			2024-11-21T04:32:21.836Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
